strategy_key,strategy_label,signal_key,signal_label,signal_params,entry_key,entry_label,exit_key,exit_label,symbol,name,asset_group,entry_signal_date,entry_date,entry_price,exit_date,exit_price,gross_return,net_return,holding_days,exit_reason,stop_at_exit,entry_score,entry_score_pct,entry_r20,entry_er20
score_bo_l20_rp002_erp015__first_signal__chandelier20_2_5atr,Score BO L20 R20>=0.02 ER20>=0.15 / First signal / Chandelier20 2.5ATR,score_bo_l20_rp002_erp015,Score BO L20 R20>=0.02 ER20>=0.15,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 20}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,XLE,State Street Energy Select Sector SPDR ETF,unknown,2026-08-26,2026-08-27,62.22999954223633,2026-08-27,61.568748474121094,-0.01062592114702543,-0.01262592114702543,1,stop_hit,61.568748474121094,0.014646193080918789,0.9034334763948498,0.06445010538710694,0.28723420290728885
score_bo_l10_rp002_erp015__first_signal__chandelier20_2_5atr,Score BO L10 R20>=0.02 ER20>=0.15 / First signal / Chandelier20 2.5ATR,score_bo_l10_rp002_erp015,Score BO L10 R20>=0.02 ER20>=0.15,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,XLE,State Street Energy Select Sector SPDR ETF,unknown,2026-08-26,2026-08-27,62.22999954223633,2026-08-27,61.568748474121094,-0.01062592114702543,-0.01262592114702543,1,stop_hit,61.568748474121094,0.014646193080918789,0.9034334763948498,0.06445010538710694,0.28723420290728885
score_bo_l10_rp002_erp010__first_signal__chandelier20_2_5atr,Score BO L10 R20>=0.02 ER20>=0.10 / First signal / Chandelier20 2.5ATR,score_bo_l10_rp002_erp010,Score BO L10 R20>=0.02 ER20>=0.10,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,XLE,State Street Energy Select Sector SPDR ETF,unknown,2026-08-26,2026-08-27,62.22999954223633,2026-08-27,61.568748474121094,-0.01062592114702543,-0.01262592114702543,1,stop_hit,61.568748474121094,0.014646193080918789,0.9034334763948498,0.06445010538710694,0.28723420290728885
score_bo_l10_rp002_erp010__first_signal__chandelier20_2_5atr,Score BO L10 R20>=0.02 ER20>=0.10 / First signal / Chandelier20 2.5ATR,score_bo_l10_rp002_erp010,Score BO L10 R20>=0.02 ER20>=0.10,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,VDE,Vanguard Energy ETF,unknown,2026-08-26,2026-08-27,175.47999572753906,2026-08-27,173.67999076843262,-0.010257607721288364,-0.012257607721288364,1,stop_hit,173.67999076843262,0.014202942846868804,0.8969957081545065,0.06539907406851309,0.2952433709992087
score_bo_l10_rp002_erp005__first_signal__chandelier20_2_5atr,Score BO L10 R20>=0.02 ER20>=0.05 / First signal / Chandelier20 2.5ATR,score_bo_l10_rp002_erp005,Score BO L10 R20>=0.02 ER20>=0.05,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,XLE,State Street Energy Select Sector SPDR ETF,unknown,2026-08-26,2026-08-27,62.22999954223633,2026-08-27,61.568748474121094,-0.01062592114702543,-0.01262592114702543,1,stop_hit,61.568748474121094,0.014646193080918789,0.9034334763948498,0.06445010538710694,0.28723420290728885
score_bo_l10_rp002_erp005__first_signal__chandelier20_2_5atr,Score BO L10 R20>=0.02 ER20>=0.05 / First signal / Chandelier20 2.5ATR,score_bo_l10_rp002_erp005,Score BO L10 R20>=0.02 ER20>=0.05,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,VDE,Vanguard Energy ETF,unknown,2026-08-26,2026-08-27,175.47999572753906,2026-08-27,173.67999076843262,-0.010257607721288364,-0.012257607721288364,1,stop_hit,173.67999076843262,0.014202942846868804,0.8969957081545065,0.06539907406851309,0.2952433709992087
score_bo_l10_rp000_erp015__first_signal__chandelier20_2_5atr,Score BO L10 R20>=0.00 ER20>=0.15 / First signal / Chandelier20 2.5ATR,score_bo_l10_rp000_erp015,Score BO L10 R20>=0.00 ER20>=0.15,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,XLE,State Street Energy Select Sector SPDR ETF,unknown,2026-08-26,2026-08-27,62.22999954223633,2026-08-27,61.568748474121094,-0.01062592114702543,-0.01262592114702543,1,stop_hit,61.568748474121094,0.014646193080918789,0.9034334763948498,0.06445010538710694,0.28723420290728885
score_bo_l10_rp000_erp015__first_signal__chandelier20_2_5atr,Score BO L10 R20>=0.00 ER20>=0.15 / First signal / Chandelier20 2.5ATR,score_bo_l10_rp000_erp015,Score BO L10 R20>=0.00 ER20>=0.15,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,VDE,Vanguard Energy ETF,unknown,2026-08-26,2026-08-27,175.47999572753906,2026-08-27,173.67999076843262,-0.010257607721288364,-0.012257607721288364,1,stop_hit,173.67999076843262,0.014202942846868804,0.8969957081545065,0.06539907406851309,0.2952433709992087
score_bo_l10_rp000_erp010__first_signal__chandelier20_2_5atr,Score BO L10 R20>=0.00 ER20>=0.10 / First signal / Chandelier20 2.5ATR,score_bo_l10_rp000_erp010,Score BO L10 R20>=0.00 ER20>=0.10,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,XLE,State Street Energy Select Sector SPDR ETF,unknown,2026-08-26,2026-08-27,62.22999954223633,2026-08-27,61.568748474121094,-0.01062592114702543,-0.01262592114702543,1,stop_hit,61.568748474121094,0.014646193080918789,0.9034334763948498,0.06445010538710694,0.28723420290728885
score_bo_l10_rp000_erp010__first_signal__chandelier20_2_5atr,Score BO L10 R20>=0.00 ER20>=0.10 / First signal / Chandelier20 2.5ATR,score_bo_l10_rp000_erp010,Score BO L10 R20>=0.00 ER20>=0.10,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,VDE,Vanguard Energy ETF,unknown,2026-08-26,2026-08-27,175.47999572753906,2026-08-27,173.67999076843262,-0.010257607721288364,-0.012257607721288364,1,stop_hit,173.67999076843262,0.014202942846868804,0.8969957081545065,0.06539907406851309,0.2952433709992087
score_bo_l10_rp000_erp005__first_signal__chandelier20_2_5atr,Score BO L10 R20>=0.00 ER20>=0.05 / First signal / Chandelier20 2.5ATR,score_bo_l10_rp000_erp005,Score BO L10 R20>=0.00 ER20>=0.05,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,XLE,State Street Energy Select Sector SPDR ETF,unknown,2026-08-26,2026-08-27,62.22999954223633,2026-08-27,61.568748474121094,-0.01062592114702543,-0.01262592114702543,1,stop_hit,61.568748474121094,0.014646193080918789,0.9034334763948498,0.06445010538710694,0.28723420290728885
score_bo_l10_rp000_erp005__first_signal__chandelier20_2_5atr,Score BO L10 R20>=0.00 ER20>=0.05 / First signal / Chandelier20 2.5ATR,score_bo_l10_rp000_erp005,Score BO L10 R20>=0.00 ER20>=0.05,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,VDE,Vanguard Energy ETF,unknown,2026-08-26,2026-08-27,175.47999572753906,2026-08-27,173.67999076843262,-0.010257607721288364,-0.012257607721288364,1,stop_hit,173.67999076843262,0.014202942846868804,0.8969957081545065,0.06539907406851309,0.2952433709992087
score_bo_l10_rm002_erp015__first_signal__chandelier20_2_5atr,Score BO L10 R20>=-0.02 ER20>=0.15 / First signal / Chandelier20 2.5ATR,score_bo_l10_rm002_erp015,Score BO L10 R20>=-0.02 ER20>=0.15,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": -0.02, ""score_lookback"": 10}",first_signal,First signal,chandelier20_2_5atr,Chandelier20 2.5ATR,XLE,State Street Energy Select Sector SPDR ETF,unknown,2026-08-26,2026-08-27,62.22999954223633,2026-08-27,61.568748474121094,-0.01062592114702543,-0.01262592114702543,1,stop_hit,61.568748474121094,0.014646193080918789,0.9034334763948498,0.06445010538710694,0.28723420290728885
